"Bleedout","底片長度","型態","機台ID","塗佈溫度","塗佈濕度","馬達壓力","乾燥溫度一","乾燥溫度二","UV暴露","照明時間","爐子O2","底片UV溫度","張力一","張力二","彎曲張力","EPC差異一","EPC差異二","缺陷Mode"
False,"300m","Production","YC-08",28.97,50.9,0.9,120.01,122.09,1020.2,1504,0.01149,89.05,6.198,2.383,3.116,-0.083053688,0.090277714,0
False,"1200m","Prototype","YC-08",31.2,51.6,0.9,120.18,122.0,1020.4,1732,0.01189,89.05,2.202,2.871,3.133,0.087557783,0.105740459,0
False,"1200m","Prototype","YC-08",27.27,50.1,0.9,120.14,122.0,1020.1,205,0.01014,89.04,2.118,2.38,3.135,0.000380766,0.11584428,0
False,"1200m","Production","YC-08",28.09,50.5,0.9,120.01,122.0,1020.1,830,0.01074,89.03,1.837,1.869,3.116,-0.018663334,0.074872014,0
False,"1200m","Production","YC-08",27.4,50.3,0.9,120.24,122.0,1020.3,434,0.01039,89.06,2.784,1.58,3.143,-0.094166252,0.079442583,0
False,"1500m","Production","YC-08",27.64,50.2,0.9,120.06,122.0,1020.9,275,0.01036,89.06,3.949,3.913,3.156,0.102794202,0.045967773,0
False,"1200m","Production","YC-08",27.73,50.8,0.9,120.01,122.0,1020.0,1486,0.01078,89.05,2.511,3.26,3.102,-0.138838437,0.06160685,0
False,"300m","Production","YC-08",30.47,51.5,0.9,120.06,122.07,1020.3,2426,0.01216,89.09,2.076,3.984,3.125,-0.085857214,0.10236079,0
False,"1200m","Production","YC-08",28.36,50.6,0.9,120.01,122.03,1020.0,1183,0.01124,89.05,2.155,3.762,3.106,-0.150679696,0.032431515,0
False,"1000m","Production","YC-08",28.78,50.6,0.9,120.09,122.0,1020.2,1038,0.01093,89.05,3.344,2.209,3.116,-0.049065195,0.078181445,0
False,"1200m","Production","YC-08",27.33,50.2,0.9,120.28,122.43,1020.9,247,0.01042,89.08,2.665,2.607,3.151,-0.076859064,0.061488731,0
False,"500m","Production","YC-08",29.73,51.3,0.9,120.21,122.35,1023.7,2079,0.01577,89.09,3.216,3.343,3.226,0.024436471,0.080255395,0
False,"1200m","Production","YC-08",29.07,50.4,0.9,120.2,122.0,1020.4,691,0.01076,89.04,3.731,1.88,3.137,0.031491123,0.074716655,0
False,"1000m","Production","YC-08",28.3,50.7,0.9,120.17,122.0,1020.6,1166,0.0115,89.08,2.05,2.937,3.13,-0.028856577,0.071846773,0
False,"1200m","Production","YC-08",27.88,50.4,0.9,120.05,122.0,1020.3,715,0.01107,89.06,4.676,2.317,3.116,-0.115910901,0.086231286,0
False,"1500m","Production","YC-08",28.0,50.5,0.9,120.06,122.0,1020.2,760,0.01106,89.1,3.117,1.984,3.116,-0.056389236,0.055570965,0
False,"1200m","Prototype","YC-08",27.17,50.1,0.9,120.01,122.09,1020.1,131,0.01009,89.02,2.396,2.41,3.116,0.10721072,0.041780355,0
False,"1000m","Production","YC-08",29.0,50.9,0.9,120.13,122.0,1020.1,1524,0.01181,89.06,3.964,1.894,3.123,-0.105583992,0.099573756,0
False,"500m","Production","YC-08",27.91,50.4,0.9,120.03,122.04,1020.1,691,0.01055,89.05,4.064,2.444,3.114,-0.01032238,0.031364782,0
False,"1500m","Production","YC-08",28.39,50.7,0.9,120.04,122.0,1020.1,1055,0.01063,89.05,2.246,2.301,3.116,-0.043083519,0.075571075,0
False,"500m","Production","YC-08",28.16,50.6,0.9,120.04,122.08,1020.1,691,0.01062,89.06,2.129,3.721,3.11,0.123626357,0.027919516,0
False,"1000m","Production","YC-08",31.06,50.8,0.9,120.09,122.0,1020.3,1246,0.01099,89.03,3.197,2.722,3.126,-0.034901911,0.044865758,0
False,"1200m","Production","YC-08",27.05,50.1,0.9,120.17,122.08,1020.4,101,0.01008,89.05,3.209,2.968,3.13,0.13276263,0.032468844,0
False,"1200m","Production","YC-08",27.96,50.5,0.9,120.22,122.11,1020.5,733,0.01073,89.03,3.183,2.204,3.139,0.034416307,0.025919826,0
False,"500m","Production","YC-08",27.91,50.4,0.9,120.07,122.07,1020.2,430,0.01076,89.04,4.035,2.209,3.108,-0.124579229,0.105834697,0
False,"1000m","Production","YC-08",27.19,50.2,0.9,120.06,122.07,1020.1,344,0.01024,89.03,3.879,2.014,3.113,0.199341952,0.046352833,0
False,"1200m","Production","YC-08",28.74,50.8,0.9,120.01,122.0,1020.1,971,0.01185,89.05,2.628,2.087,3.104,-0.044244609,0.107935807,0
False,"1000m","Production","YC-08",27.95,50.4,0.9,120.05,122.12,1020.2,726,0.01123,89.07,3.311,3.401,3.114,-0.021579202,0.01835704,0
False,"1200m","Production","YC-08",27.07,50.1,0.9,120.01,122.0,1020.0,136,0.0101,89.02,2.648,2.571,3.104,-0.034304258,0.11661749,0
False,"1200m","Production","YC-08",27.64,50.3,0.901,120.01,122.0,1020.0,483,0.01115,89.05,2.576,3.951,3.103,0.047048947,0.043869802,0
False,"1200m","Production","YC-08",28.16,50.4,0.9,120.06,122.0,1020.1,621,0.01105,89.06,3.255,3.468,3.111,0.079927926,0.018827413,0
False,"1000m","Production","YC-08",27.83,50.5,0.9,120.06,122.0,1020.2,830,0.01066,89.06,4.157,3.938,3.116,0.000344338,0.109524124,0
False,"300m","Production","YC-08",28.86,50.9,0.9,120.12,122.26,1020.2,1419,0.01169,89.05,4.251,2.363,3.131,-0.056578303,0.069899112,0
False,"1000m","Production","YC-08",28.45,50.7,0.9,120.02,122.14,1020.1,1107,0.01099,89.03,1.77,2.797,3.116,-0.038066598,0.068200513,0
False,"1000m","Production","YC-08",28.82,50.9,0.9,120.01,122.0,1020.1,1385,0.01151,89.07,3.7,1.945,3.11,-0.137484367,0.091136306,0
False,"1200m","Production","YC-08",27.46,50.2,0.9,120.0,122.0,1020.0,351,0.01025,89.03,3.331,2.681,3.102,0.028326195,0.030780134,0
False,"500m","Production","YC-08",28.64,50.8,0.9,120.05,122.0,1020.1,1246,0.01074,89.04,3.991,3.101,3.116,-0.082729455,0.097657457,0
False,"300m","Production","YC-08",27.37,50.2,0.9,120.02,122.0,1020.1,283,0.01017,89.01,2.539,2.864,3.118,-0.090188543,0.037146971,0
False,"1000m","Production","YC-08",27.47,50.4,0.9,120.01,122.0,1020.0,691,0.01076,89.04,2.36,2.937,3.102,-0.139624082,0.108826035,0
False,"100m","Laboratory_Test","YC-08",30.59,50.7,0.9,120.05,122.0,1020.1,1173,0.01105,89.04,3.796,3.101,3.112,0.02824317,0.068491762,0
False,"1200m","Production","YC-08",27.42,50.2,0.9,120.06,122.06,1020.1,587,0.01082,89.06,4.012,2.91,3.11,0.122370582,0.086187282,0
False,"300m","Production","YC-08",29.73,51.3,0.9,120.09,122.05,1020.3,2079,0.0135,89.18,2.061,3.348,3.116,-0.1269771,0.117149077,0
False,"300m","Production","YC-08",31.15,51.0,0.9,120.18,122.0,1020.9,1558,0.0117,89.07,2.237,4.064,3.147,-0.068028713,0.057184581,0
False,"1200m","Production","YC-08",28.28,50.6,0.9,120.09,122.09,1020.2,977,0.01175,89.03,4.013,2.903,3.116,0.052126166,0.031057258,0
False,"1200m","Production","YC-08",27.23,50.1,0.9,120.03,122.0,1020.9,830,0.01091,89.05,2.429,5.529,3.162,-0.068391821,0.022581227,0
False,"1000m","Production","YC-08",27.45,50.6,0.9,120.09,122.0,1020.3,1038,0.01103,89.06,3.598,3.598,3.116,-0.082362931,0.099372564,0
False,"1000m","Production","YC-08",30.27,51.3,0.9,120.02,122.02,1020.1,1246,0.01161,89.06,3.123,2.372,3.106,0.164573642,0.073717281,0
False,"1500m","Production","YC-08",27.27,50.4,0.9,120.04,122.0,1020.2,457,0.01059,89.03,2.013,2.512,3.111,0.005004633,0.036520772,0
False,"500m","Production","YC-08",27.81,50.4,0.9,120.02,122.04,1020.0,613,0.01049,89.03,2.883,1.468,3.107,0.119043743,0.118953686,0
False,"500m","Production","YC-08",28.4,50.7,0.9,120.01,122.01,1020.0,1064,0.01042,89.04,4.762,3.079,3.104,-0.123512943,0.10688279,0
False,"1000m","Production","YC-08",28.87,50.9,0.9,120.17,122.0,1020.5,1385,0.01151,89.05,3.783,4.29,3.131,-0.044487937,0.082237597,0
False,"1500m","Production","YC-08",28.27,50.9,0.9,121.18,122.0,1024.0,1385,0.01192,89.15,3.657,2.661,3.312,-0.176573566,0.069559742,0
False,"1200m","Production","YC-08",27.2,50.2,0.9,120.05,122.0,1020.4,275,0.01047,89.04,3.586,2.628,3.116,0.230109411,0.023287499,0
False,"1000m","Production","YC-08",27.93,50.4,0.9,120.0,122.01,1020.1,726,0.01159,89.03,4.007,2.948,3.103,0.125940551,0.059074014,0
False,"1200m","Prototype","YC-08",27.73,50.3,0.9,120.01,122.0,1020.0,552,0.01033,89.02,2.425,3.51,3.102,-0.197456021,0.064351255,0
False,"300m","Production","YC-08",29.0,51.1,0.9,120.02,122.05,1020.1,1732,0.01223,89.06,3.276,2.166,3.109,-0.029052048,0.026721714,0
False,"1500m","Production","YC-08",27.36,50.1,0.9,120.43,122.0,1021.1,691,0.01089,89.1,2.736,1.984,3.177,-0.118370194,0.070615666,0
False,"1500m","Prototype","YC-08",27.55,50.3,0.9,120.23,122.23,1020.5,653,0.01065,89.04,2.745,2.299,3.142,-0.044773826,0.096192443,0
False,"1000m","Production","YC-08",27.85,50.9,0.9,120.09,122.06,1020.2,780,0.01076,89.06,4.199,3.234,3.123,0.137573346,0.038938699,0
False,"1500m","Production","YC-08",28.16,50.5,0.9,120.05,122.09,1020.2,885,0.01114,89.04,2.503,2.691,3.116,-0.054476824,0.080741224,0
False,"1000m","Production_Test","YC-08",28.45,50.7,0.9,120.03,122.05,1020.1,1107,0.01088,89.03,2.871,3.365,3.108,0.139039655,0.105551229,0
False,"1200m","Production","YC-08",29.43,50.8,0.9,120.09,122.09,1020.2,1357,0.01162,89.05,1.573,2.991,3.116,-0.242246885,0.047697497,0
False,"1000m","Production","YC-08",29.54,51.2,0.9,120.07,122.09,1020.2,1940,0.01173,89.07,2.499,2.527,3.117,0.034937125,0.071294714,0
False,"1200m","Production","YC-08",27.79,50.3,0.9,120.1,122.0,1020.2,552,0.01027,89.04,4.361,4.012,3.13,-0.075808668,0.081555801,0
False,"1200m","Production","YC-08",29.54,51.2,0.9,120.04,122.0,1020.2,2128,0.01192,89.08,3.312,4.959,3.116,-0.044493187,0.031793436,0
False,"1000m","Production","YC-08",28.07,50.6,0.9,120.02,122.0,1020.1,1038,0.01072,89.03,3.22,1.243,3.107,-0.058979454,0.038537985,0
False,"1200m","Prototype","YC-08",28.21,50.5,0.9,120.04,122.0,1020.1,552,0.01049,89.04,2.637,3.08,3.108,0.067531528,0.070682146,0
False,"1200m","Production","YC-08",28.31,50.6,0.9,120.03,122.09,1020.1,996,0.01119,89.05,5.016,2.883,3.116,0.088317371,0.020015181,0
False,"1200m","Production","YC-08",27.82,50.4,0.9,120.09,122.05,1020.1,621,0.01056,89.07,2.181,4.192,3.116,-0.100701395,0.119229661,0
False,"1500m","Production","YC-08",28.45,50.7,0.9,120.01,122.0,1020.0,1107,0.01055,89.09,2.318,3.466,3.103,-0.059173232,0.11553814,0
False,"1000m","Production","YC-08",28.0,50.5,0.9,120.23,122.12,1020.3,760,0.01098,89.06,4.274,2.183,3.142,-0.005999824,0.022960797,0
False,"500m","Production","YC-08",27.89,50.4,0.9,120.01,122.0,1020.0,677,0.01013,89.07,3.13,2.177,3.116,0.103462561,0.079647784,0
False,"1200m","Production","YC-08",29.2,50.9,0.9,120.26,123.3,1021.6,1732,0.01223,89.05,3.017,2.676,3.193,-0.177507768,0.03099214,0
False,"1000m","Production","YC-08",29.0,50.9,0.9,120.16,122.08,1020.3,1524,0.01242,89.05,2.006,3.825,3.13,0.130183316,0.110299817,0
False,"1200m","Production","YC-08",28.09,50.5,0.9,120.02,122.0,1020.0,830,0.01107,89.03,3.567,2.216,3.104,0.011405768,0.091611358,0
False,"1500m","Production","YC-08",28.82,50.9,0.9,120.08,122.0,1020.2,1385,0.01165,89.12,1.806,1.928,3.116,-0.04659117,0.109348352,0
False,"1500m","Production","YC-08",27.5,50.2,0.9,120.03,122.0,1020.1,379,0.01026,89.06,4.032,3.459,3.113,0.071705668,0.029043314,0
False,"1200m","Production","YC-08",29.54,50.9,0.9,120.2,122.13,1020.4,1454,0.01101,89.09,3.907,2.832,3.145,-0.082913159,0.042222537,0
False,"1000m","Production","YC-08",29.27,51.1,0.9,120.23,122.0,1020.6,1726,0.01103,89.05,2.276,2.591,3.145,0.050876319,0.056948171,0
False,"1200m","Production","YC-08",27.55,50.3,0.9,120.02,122.25,1020.6,413,0.01049,89.06,2.494,2.674,3.145,-0.093104942,0.070600812,0
False,"1200m","Production","YC-08",27.67,50.3,0.9,120.03,122.0,1020.1,510,0.01061,89.04,4.478,2.409,3.11,0.078804879,0.031990624,0
False,"1200m","Production","YC-08",28.09,50.5,0.9,120.04,122.0,1020.1,830,0.01115,89.08,6.147,2.404,3.107,0.078528298,0.110460825,0
False,"1200m","Production","YC-08",27.91,50.4,0.9,120.03,122.0,1020.1,691,0.01076,89.04,2.949,3.357,3.112,0.164468873,0.067571212,0
False,"1000m","Production","YC-08",30.89,50.8,0.9,120.09,122.0,1020.2,1321,0.01105,89.05,2.355,3.918,3.116,-0.073860614,0.113940074,0
False,"1500m","Prototype","YC-08",27.68,50.3,0.9,120.01,122.0,1020.1,472,0.01047,89.02,2.034,2.265,3.112,-0.084287854,0.069204316,0
False,"300m","Production","YC-08",29.22,51.5,0.9,120.05,122.05,1020.3,2426,0.01385,89.09,4.447,3.794,3.116,0.025253809,0.034406373,0
False,"1500m","Production","YC-08",27.42,50.2,0.9,120.09,122.0,1020.1,318,0.01022,89.03,2.374,3.129,3.116,0.00706625,0.108664697,0
False,"1200m","Production","YC-08",28.23,50.8,0.9,120.06,122.0,1020.2,968,0.01096,89.08,2.369,2.142,3.118,0.081409531,0.095649812,0
False,"500m","Production","YC-08",28.82,50.4,0.9,120.09,122.05,1020.1,691,0.01027,89.04,4.121,2.286,3.116,0.069393148,0.087208869,0
False,"1000m","Production","YC-08",28.2,50.5,0.9,120.05,122.0,1020.1,774,0.01038,89.03,2.682,1.546,3.116,0.086095042,0.0670053,0
False,"1200m","Production","YC-08",27.8,50.4,0.9,120.33,122.0,1020.9,691,0.01062,89.05,3.447,2.851,3.16,0.145209857,0.038413702,0
False,"1200m","Production","YC-08",27.55,50.3,0.9,120.01,122.0,1020.2,413,0.01066,89.02,2.714,2.436,3.116,0.140730717,0.063646896,0
False,"500m","Production","YC-08",27.28,50.1,0.9,120.0,122.01,1020.0,214,0.01009,89.01,3.966,1.873,3.104,-0.134283677,0.019040154,0
False,"500m","Production","YC-08",29.12,51.5,0.9,120.23,122.87,1021.1,2426,0.0124,89.19,3.319,3.936,3.205,0.014860275,0.085171758,0
False,"1200m","Production","YC-08",28.09,50.5,0.9,120.02,122.0,1020.1,830,0.01099,89.04,5.744,4.909,3.109,0.066998408,0.051273264,0
False,"1500m","Production","YC-08",27.98,50.5,0.9,120.01,122.14,1020.3,746,0.01119,89.04,1.557,2.916,3.116,0.115682152,0.059795881,0
False,"1000m","Prototype","YC-08",27.21,50.4,0.9,120.08,122.08,1020.2,241,0.01026,89.02,2.784,1.993,3.111,-0.182037639,0.053333671,0
False,"1200m","Production","YC-08",27.5,50.4,0.9,120.0,122.0,1020.0,691,0.01096,89.03,4.175,2.942,3.103,-0.165500206,0.072577462,0
False,"1500m","Production","YC-08",28.96,50.9,0.9,120.12,122.15,1020.9,1496,0.01163,89.08,4.817,4.731,3.155,0.081793488,0.038598921,0
False,"1000m","Production","YC-08",28.36,50.6,0.9,120.09,122.0,1020.2,1038,0.01165,89.05,4.26,2.968,3.116,-0.091050543,0.093418575,0
False,"1200m","Production","YC-08",28.91,50.9,0.9,120.09,122.09,1020.2,1454,0.01231,89.05,2.471,2.82,3.116,0.007941499,0.081729667,0
False,"1200m","Production","YC-08",27.81,50.4,0.9,120.0,122.0,1020.0,613,0.01061,89.03,2.974,2.503,3.102,0.145328635,0.118057078,0
False,"1200m","Prototype","YC-08",29.44,50.7,0.9,120.09,122.0,1020.3,1097,0.01087,89.03,2.916,1.954,3.116,-0.104730985,0.118955703,0
False,"1200m","Production","YC-08",27.91,50.4,0.9,120.05,122.0,1020.1,691,0.01048,89.03,2.905,3.106,3.116,0.052448303,0.041265635,0
False,"1000m","Production","YC-08",27.85,50.4,0.9,120.03,122.03,1020.2,654,0.01096,89.05,2.161,3.716,3.111,0.038107391,0.069097199,0
False,"500m","Production","YC-08",28.07,50.5,0.9,120.05,122.0,1020.1,812,0.01097,89.04,2.14,2.732,3.116,-0.140346532,0.037349749,0
False,"1200m","Production","YC-08",27.73,50.3,0.9,120.06,122.0,1020.2,552,0.01071,89.07,2.527,3.623,3.116,0.180755585,0.049723665,0
False,"1200m","Production","YC-08",27.45,50.2,0.9,120.07,122.17,1020.6,295,0.01024,89.05,3.197,3.263,3.152,-0.045887796,0.032751153,0
False,"1200m","Production","YC-08",27.65,50.3,0.9,120.03,122.0,1020.1,497,0.01025,89.03,3.817,1.974,3.11,-0.061209447,0.08698585,0
False,"1200m","Production","YC-08",30.18,51.5,0.9,120.62,122.0,1022.1,2426,0.01168,89.1,1.615,1.72,3.211,-0.046637994,0.074618793,0
False,"1200m","Production","YC-08",27.11,50.1,0.9,120.05,122.0,1020.0,80,0.01004,89.05,3.605,1.806,3.116,-0.031258785,0.103287937,0
False,"1200m","Production","YC-08",28.09,50.5,0.9,120.06,122.06,1020.2,830,0.01082,89.12,2.336,1.522,3.112,-0.007392815,0.083385463,0
False,"1200m","Production","YC-08",28.31,50.6,0.9,120.02,122.0,1020.2,996,0.01109,89.04,2.605,3.059,3.131,0.011760139,0.084565301,0
False,"1500m","Production","YC-08",27.67,50.3,0.9,120.01,122.0,1020.0,522,0.01025,89.05,3.131,2.144,3.102,-0.119754498,0.109822903,0
False,"1000m","Production","YC-08",28.64,50.8,0.9,120.07,122.03,1020.1,1246,0.01173,89.07,3.147,3.064,3.112,0.003941408,0.057898039,0
False,"1200m","Production","YC-08",27.07,50.2,0.9,120.08,122.0,1020.2,275,0.01033,89.05,2.159,2.309,3.114,0.030160448,0.015078327,0
False,"1500m","Production","YC-08",28.36,50.6,0.9,120.21,122.18,1020.7,1038,0.01113,89.08,3.385,2.394,3.164,-0.099388572,0.061333584,0
False,"1000m","Production","YC-08",28.07,50.3,0.9,120.09,122.0,1020.2,413,0.01033,89.06,2.551,3.698,3.116,-0.047518567,0.038872777,0
False,"1000m","Production","YC-08",28.36,50.6,0.9,120.01,122.05,1020.1,1038,0.01093,89.03,4.017,2.926,3.116,-0.060453397,0.029392218,0
False,"500m","Production","YC-08",28.36,50.6,0.9,120.06,122.03,1020.1,1038,0.01062,89.06,2.458,1.395,3.112,0.013599956,0.068790993,0
False,"1000m","Production","YC-08",27.91,50.4,0.9,120.06,122.09,1020.1,691,0.01082,89.06,3.737,2.613,3.116,-0.027346489,0.037390541,0
False,"1500m","Production","YC-08",27.73,50.3,0.9,120.08,122.04,1020.2,552,0.01066,89.06,3.535,2.333,3.115,-0.201818796,0.065683671,0
False,"1200m","Prototype","YC-08",27.3,50.1,0.902,120.0,122.0,1020.0,223,0.01033,89.02,2.988,5.023,3.101,0.050924714,0.060536925,0
False,"1500m","Production","YC-08",28.65,50.8,0.9,120.07,122.0,1020.8,1260,0.01462,89.09,2.369,3.068,3.13,-0.018658026,0.105401901,0
False,"1000m","Production","YC-08",29.51,51.0,0.907,120.39,122.58,1021.4,2426,0.01313,89.17,4.12,2.119,3.17,-0.085407194,0.032950118,0
False,"1500m","Production","YC-08",27.86,50.4,0.9,120.05,122.0,1020.1,653,0.01071,89.03,2.459,3.118,3.116,0.087369809,0.099055581,0
False,"300m","Production","YC-08",27.64,50.3,0.9,120.12,122.12,1020.9,483,0.01125,89.07,3.686,5.368,3.142,0.023510048,0.032934233,0
False,"1000m","Prototype","YC-08",28.93,50.4,0.9,120.06,122.14,1020.1,621,0.01068,89.04,3.235,6.839,3.116,0.005066474,0.108131706,0
False,"1200m","Production","YC-08",28.18,50.6,0.9,120.28,122.28,1021.2,899,0.01134,89.08,4.356,4.776,3.15,-0.013520588,0.05607225,0
False,"1000m","Production","YC-08",27.74,50.3,0.9,120.23,122.0,1021.5,1246,0.01062,89.07,2.478,1.32,3.205,-0.045624984,0.093206466,0
False,"1000m","Production","YC-08",30.85,51.0,0.9,120.03,122.0,1020.1,1640,0.0113,89.04,3.37,3.84,3.106,0.035618018,0.083542976,0
False,"1000m","Production","YC-08",32.28,51.0,0.9,120.11,122.0,1020.3,2046,0.01146,89.06,2.911,2.532,3.143,0.07854207,0.030920268,0
False,"1000m","Production","YC-08",28.13,50.2,0.9,120.02,122.02,1020.0,344,0.01031,89.03,3.974,2.706,3.106,0.008055277,0.098996715,0
False,"1200m","Production","YC-08",28.27,50.6,0.9,120.0,122.0,1020.1,968,0.01077,89.05,2.357,2.161,3.106,0.153257348,0.105564408,0
False,"500m","Production","YC-08",27.59,50.2,0.9,120.0,122.01,1020.0,489,0.01033,89.05,2.459,3.192,3.102,0.030416321,0.041456621,0
False,"1200m","Production","YC-08",28.89,50.9,0.9,120.17,122.0,1020.6,1439,0.01171,89.05,2.957,2.77,3.143,0.033049748,0.114062257,0
False,"1200m","Production","YC-08",27.33,50.1,0.9,120.03,122.05,1020.1,743,0.01059,89.03,4.767,2.001,3.117,0.075849253,0.09095513,0
False,"1200m","Production","YC-08",29.85,50.6,0.9,120.06,122.0,1020.4,968,0.01135,89.03,4.262,4.465,3.12,-0.06437793,0.104146322,0
False,"1200m","Production","YC-08",28.09,50.5,0.9,120.02,122.03,1020.2,830,0.01074,89.05,1.849,3.25,3.112,-0.114489098,0.063629641,0
False,"300m","Production","YC-08",27.87,50.4,0.9,120.41,122.29,1023.0,663,0.01092,89.06,2.782,2.464,3.204,-0.102917182,0.01973672,0
False,"1200m","Production","YC-08",28.27,50.6,0.9,120.28,122.0,1020.5,968,0.01135,89.07,1.75,3.595,3.15,-0.077583769,0.06076855,0
False,"1200m","Prototype","YC-08",27.4,50.4,0.9,120.01,122.0,1020.0,620,0.01055,89.02,5.763,3.146,3.103,-0.008339201,0.018474056,0
False,"1000m","Production","YC-08",30.1,50.6,0.9,120.12,122.06,1020.2,951,0.01094,89.03,5.089,2.844,3.121,-0.045940532,0.072469245,0
False,"1000m","Production","YC-08",27.49,50.8,0.9,120.2,122.0,1020.4,1242,0.01123,89.04,2.99,3.695,3.136,-0.10898118,0.089902092,0
False,"1000m","Production","YC-08",28.79,50.4,0.9,120.09,122.05,1020.2,691,0.01048,89.05,2.271,2.288,3.116,-0.09265654,0.104265821,0
False,"300m","Production","YC-08",29.71,51.1,0.9,120.08,122.08,1020.8,1662,0.01363,89.06,3.598,1.643,3.127,0.04045845,0.035392305,0
False,"1500m","Production","YC-08",27.45,50.2,0.9,120.08,122.0,1020.3,344,0.01065,89.07,3.273,4.257,3.114,0.019783886,0.046095166,0
False,"1000m","Production","YC-08",28.36,50.6,0.9,120.03,122.01,1020.0,1038,0.01103,89.03,1.712,2.485,3.105,-0.009884159,0.037757521,0
False,"1500m","Production","YC-08",28.91,50.9,0.9,120.52,122.58,1021.5,1454,0.01216,89.09,2.678,4.01,3.204,0.058711956,0.024345086,0
False,"1500m","Production","YC-08",27.72,50.3,0.9,120.02,122.0,1020.1,547,0.0106,89.06,1.62,4.744,3.116,-0.071389461,0.049119537,0
False,"1200m","Production","YC-08",29.09,51.0,0.9,120.11,122.0,1020.3,1593,0.01158,89.08,2.638,1.867,3.12,-0.061867574,0.050068863,0
False,"1500m","Production","YC-08",27.91,50.4,0.9,120.1,122.0,1020.3,691,0.01089,89.09,3.73,3.681,3.119,-0.030062005,0.099844941,0
False,"1000m","Production","YC-08",29.05,50.5,0.9,120.09,122.05,1020.2,830,0.01099,89.04,1.825,2.319,3.116,0.030693259,0.095494327,0
False,"300m","Production","YC-08",30.37,51.4,0.9,120.05,122.05,1020.2,2426,0.01168,89.07,2.02,3.469,3.109,-0.06940164,0.03839872,0
False,"1200m","Production","YC-08",27.73,50.3,0.9,120.09,122.0,1020.3,552,0.01077,89.06,3.345,3.022,3.116,0.148518066,0.019252336,0
False,"1200m","Production","YC-08",27.88,50.3,0.9,120.03,122.0,1020.1,691,0.01137,89.03,4.124,3.465,3.108,-0.082714406,0.071719148,0
False,"1500m","Production","YC-08",27.91,50.4,0.9,120.09,122.0,1020.2,691,0.01089,89.08,1.969,3.475,3.116,-0.074113255,0.082335188,0
False,"1200m","Production","YC-08",28.06,50.4,0.9,120.0,122.0,1020.1,663,0.01092,89.03,4.201,2.279,3.108,-0.094482243,0.083515008,0
