,Measured.1g.SAR,Average.Power,Band,Mode,Test.Position,Antenna.Vendor,Ch.,Freq.,Tune.Up.Limit,Tune.up.Scaling.Factor,Duty.Cycle..,Duty.Cycle.Scaling.Factor,Reported.1g.SAR,Antenna.Peak.gain,filename,New.Test.Position,Dist,shell.type,New.Test.Position3,predict.SAR,isfail
21,0.881,16.7,5G,802.11a 6Mbps,Edge 1,Acon,165,5825,17,1.072,95.6,1.046,0.987,-3.35,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.696623971,pass
22,0.191,20.48,2G,802.11b 1Mbps,Bottom Face,WNC,1,2412,20.5,1.005,99.43,1.006,0.193,-0.14,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Bottom,16.2,2,Face,0.174302858,pass
23,0.782,20.48,2G,802.11b 1Mbps,Edge 1,WNC,1,2412,20.5,1.005,99.43,1.006,0.79,-0.78,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.848578955,pass
24,0.626,20.28,2G,802.11b 1Mbps,Edge 1,WNC,6,2437,20.5,1.052,99.43,1.006,0.662,-0.78,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.726695922,pass
25,0.789,20.47,2G,802.11b 1Mbps,Edge 1,WNC,11,2462,20.5,1.007,99.43,1.006,0.799,-0.78,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.887780068,pass
26,0.082,20.48,2G,802.11b 1Mbps,Edge 2,WNC,1,2412,20.5,1.005,99.43,1.006,0.083,-0.14,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,50,2,Edge,0.13576448,pass
27,0.565,20.47,2G,802.11b 1Mbps,Edge 1,Acon,11,2462,20.5,1.007,99.43,1.006,0.572,-2.97,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,1.116645868,pass
28,0.287,16.96,5G,802.11a 6Mbps,Bottom Face,WNC,52,5260,17,1.01,94.5,1.058,0.307,1.11,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Bottom,16.2,2,Face,0.237173381,pass
29,0.846,16.96,5G,802.11a 6Mbps,Edge 1,WNC,52,5260,17,1.01,94.5,1.058,0.904,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.654815489,pass
30,0.724,16.93,5G,802.11a 6Mbps,Edge 1,WNC,60,5300,17,1.017,94.5,1.058,0.779,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.712600524,pass
31,0.517,16.96,5G,802.11a 6Mbps,Edge 1,Acon,52,5260,17,1.01,94.5,1.058,0.553,-2.56,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.579121645,pass
32,0.351,16.78,5G,802.11a 6Mbps,Bottom Face,WNC,144,5720,17,1.053,94.5,1.058,0.391,1.11,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Bottom,16.2,2,Face,0.239603002,pass
33,0.488,16.78,5G,802.11a 6Mbps,Edge 1,WNC,144,5720,17,1.053,94.5,1.058,0.544,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.596532491,pass
34,0.433,14.97,5G,802.11a 6Mbps,Edge 1,WNC,100,5500,15,1.008,94.5,1.058,0.462,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.483757946,pass
35,0.65,16.66,5G,802.11a 6Mbps,Edge 1,WNC,116,5580,17,1.082,94.5,1.058,0.744,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.778970654,pass
36,0.542,16.63,5G,802.11a 6Mbps,Edge 1,WNC,132,5660,17,1.089,94.5,1.058,0.624,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.735835814,pass
37,0.459,16.62,5G,802.11a 6Mbps,Edge 1,WNC,124,5620,17,1.091,94.5,1.058,0.53,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.779710956,pass
38,0.444,16.66,5G,802.11a 6Mbps,Edge 1,Acon,116,5580,17,1.081,94.5,1.058,0.508,-2.56,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.6202252,pass
39,0.423,16.91,5G,802.11a 6Mbps,Bottom Face,WNC,149,5745,17,1.022,94.5,1.058,0.457,1.11,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Bottom,16.2,2,Face,0.219614662,pass
40,0.617,16.91,5G,802.11a 6Mbps,Edge 1,WNC,149,5745,17,1.022,94.5,1.058,0.667,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.719001738,pass
41,0.576,16.7,5G,802.11a 6Mbps,Edge 1,WNC,157,5785,17,1.073,94.5,1.058,0.654,2.34,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.759683386,pass
42,0.469,16.54,5G,802.11a 6Mbps,Edge 1,WNC,165,5825,17,1.113,94.5,1.058,0.552,1.74,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.793791592,pass
43,0.289,16.91,5G,802.11a 6Mbps,Edge 1,Acon,149,5745,17,1.022,94.5,1.058,0.312,-2.56,FA7N2213_R01_FCC SAR_Wistron_Drax11 MLK AMD_Report_1213,Edge,3,2,Edge,0.669143029,pass
44,0.226,20.49,2G,802.11b 1Mbps,Bottom Face,WNC,1,2412,20.5,1.002,99.04,1.01,0.229,1.7,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Bottom,14.75,1,Face,0.284642322,pass
45,0.925,20.49,2G,802.11b 1Mbps,Edge 1,WNC,1,2412,20.5,1.002,99.04,1.01,0.936,-2.54,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.850250835,pass
46,0.978,20.14,2G,802.11b 1Mbps,Edge 1,WNC,6,2437,20.5,1.086,99.04,1.01,1.073,-2.54,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.741335691,pass
47,0.888,20.07,2G,802.11b 1Mbps,Edge 1,WNC,11,2462,20.5,1.104,99.04,1.01,0.99,-2.54,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.874306076,pass
48,0.46,20.49,2G,802.11b 1Mbps,Edge 1,Acon,1,2412,20.5,1.002,99.04,1.01,0.466,-2.16,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.874993989,pass
49,0.481,20.14,2G,802.11b 1Mbps,Edge 1,Acon,6,2437,20.5,1.086,99.04,1.01,0.528,-2.16,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.762836862,pass
50,0.839,20.07,2G,802.11b 1Mbps,Edge 1,Acon,11,2462,20.5,1.104,99.04,1.01,0.936,-2.16,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.90313742,pass
51,0.109,14.64,5G,802.11a 6Mbps,Bottom Face,WNC,64,5320,15,1.085,94.95,1.053,0.125,2.79,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Bottom,14.75,1,Face,0.16682207,pass
52,0.396,14.64,5G,802.11a 6Mbps,Edge 1,WNC,64,5320,15,1.085,94.95,1.053,0.453,0.7,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.474409301,pass
53,0.431,14.64,5G,802.11a 6Mbps,Edge 1,Acon,64,5320,15,1.085,94.95,1.053,0.493,-0.97,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.502405077,pass
54,0.351,14.45,5G,802.11a 6Mbps,Edge 1,Acon,56,5280,15,1.135,94.95,1.053,0.42,-0.97,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.469679649,pass
55,0.18,14.99,5G,802.11a 6Mbps,Bottom Face,WNC,100,5500,15,1.002,94.95,1.053,0.19,2.79,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Bottom,14.75,1,Face,0.168859351,pass
56,0.408,14.99,5G,802.11a 6Mbps,Edge 1,WNC,100,5500,15,1.002,94.95,1.053,0.431,0.7,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.417902683,pass
57,0.37,14.99,5G,802.11a 6Mbps,Edge 1,Acon,100,5500,15,1.002,94.95,1.053,0.391,-0.97,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.413477199,pass
58,0.467,14.99,5G,802.11a 6Mbps,Edge 1,Acon,116,5580,15,1.002,94.95,1.053,0.493,-0.97,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.516288453,pass
59,0.691,14.89,5G,802.11a 6Mbps,Edge 1,Acon,132,5660,15,1.026,94.95,1.053,0.746,-0.97,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.592301273,pass
60,0.698,14.99,5G,802.11a 6Mbps,Edge 1,Acon,124,5620,15,1.002,94.95,1.053,0.737,-0.97,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.582859721,pass
61,0.667,14.75,5G,802.11a 6Mbps,Edge 1,Acon,144,5720,15,1.058,94.95,1.053,0.743,-0.97,FA7N2211_R01_FCC SAR_WistronStarlord13 BBY AMD_Report,Edge,1.5,1,Edge,0.510925694,pass
62,0.062,14.93,2G,802.11b 1Mbps,Bottom Face,WNC,6,2437,15,1.016,95.01,1.053,0.066,-1.8,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Bottom,5,2,Face,0.073127521,pass
63,0.115,14.93,2G,802.11b 1Mbps,Edge 3,WNC,6,2437,15,1.016,95.01,1.053,0.123,-1.8,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Edge,16.2,2,Edge,0.114779849,pass
64,0.133,14.64,2G,802.11n-HT20 MCS0,Edge 3,WNC,11,2462,15,1.086,95.41,1.048,0.151,-1.8,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Edge,16.2,2,Edge,0.140884641,pass
65,0.117,14.39,2G,802.11n-HT40 MCS0,Edge 3,WNC,9,2452,14.5,1.026,90.42,1.106,0.133,-1.8,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Edge,16.2,2,Edge,0.12366363,pass
66,0.053,14.93,2G,802.11b 1Mbps,Bottom of Laptop,WNC,6,2437,15,1.016,95.01,1.053,0.057,-1.8,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Bottom,5,2,Laptop,0.035777213,pass
67,0.123,14.7,2G,802.11b 1Mbps,Bottom Face,WNC,1,2412,15,1.071,95.19,1.051,0.138,1.21,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Bottom,5,2,Face,0.144128193,pass
68,0.125,14.7,2G,802.11b 1Mbps,Edge 3,WNC,1,2412,15,1.071,95.19,1.051,0.141,1.21,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Edge,16.2,2,Edge,0.14841635,pass
69,0.139,14.48,2G,802.11n-HT20 MCS0,Edge 3,WNC,11,2462,15,1.126,94.78,1.055,0.165,1.21,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Edge,16.2,2,Edge,0.160800736,pass
70,0.106,14.41,2G,802.11n-HT20 MCS0,Edge 3,WNC,1,2412,15,1.145,94.78,1.055,0.128,1.21,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Edge,16.2,2,Edge,0.150640104,pass
71,0.118,14.45,2G,802.11n-HT20 MCS0,Edge 3,WNC,6,2437,15,1.134,94.78,1.055,0.141,1.21,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Edge,16.2,2,Edge,0.131573075,pass
72,0.144,14.38,2G,802.11n-HT40 MCS0,Edge 3,WNC,9,2452,14.5,1.028,90.62,1.104,0.163,1.21,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Edge,16.2,2,Edge,0.152061303,pass
73,0.067,14.7,2G,802.11b 1Mbps,Bottom of Laptop,WNC,1,2412,15,1.071,95.19,1.051,0.075,1.21,FA4D1120-01_R01_FCC SAR_Wistron_Hevin(BCM 43142)_Report,Bottom,5,2,Laptop,0.030658903,pass
74,0.192,16.91,2G,802.11b 1Mbps,Bottom Face,INPAQ,1,2412,17,1.021,100,1,0.196,-0.5,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Bottom,5.4,2,Face,0.168468257,pass
75,0.244,16.85,2G,802.11b 1Mbps,Bottom Face,INPAQ,1,2412,17,1.035,100,1,0.253,-0.37,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Bottom,5.4,2,Face,0.173057447,pass
76,0.343,17.42,5G,802.11a 6Mbps,Bottom Face,INPAQ,60,5300,17.5,1.019,100,1,0.349,-3.02,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Bottom,5.4,2,Face,0.204576545,pass
77,0.267,17.16,5G,802.11a 6Mbps,Bottom Face,INPAQ,52,5260,17.5,1.081,100,1,0.289,-2.24,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Bottom,5.4,2,Face,0.184881217,pass
78,0.16,17.22,5G,802.11a 6Mbps,Bottom Face,INPAQ,116,5580,17.5,1.067,100,1,0.171,-3.02,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Bottom,5.4,2,Face,0.219847839,pass
79,0.361,17.28,5G,802.11a 6Mbps,Bottom Face,INPAQ,116,5580,17.5,1.052,100,1,0.38,-2.24,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Bottom,5.4,2,Face,0.181720207,pass
80,0.192,17.48,5G,802.11a 6Mbps,Bottom Face,INPAQ,157,5785,17.5,1.005,100,1,0.193,-3.02,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Bottom,5.4,2,Face,0.204782663,pass
81,0.184,17.23,5G,802.11a 6Mbps,Bottom Face,INPAQ,165,5825,17.5,1.064,100,1,0.196,-3.84,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Bottom,5.4,2,Face,0.230584765,pass
82,0.475,16.91,2G,802.11b 1Mbps,Edge 1,INPAQ,1,2412,17,1.021,100,1,0.485,-2.46,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.447953014,pass
83,0.528,16.85,2G,802.11b 1Mbps,Edge 1,INPAQ,1,2412,17,1.035,100,1,0.547,-2.59,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.450162032,pass
84,0.399,16.84,2G,802.11b 1Mbps,Edge 1,INPAQ,6,2437,17,1.038,100,1,0.414,-2.59,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.386613233,pass
85,0.298,16.71,2G,802.11b 1Mbps,Edge 1,INPAQ,11,2462,17,1.069,100,1,0.319,-2.59,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.42237375,pass
86,1.15,17.42,5G,802.11a 6Mbps,Edge 1,INPAQ,60,5300,17.5,1.019,100,1,1.171,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.11821882,pass
87,0.932,17.3,5G,802.11a 6Mbps,Edge 1,INPAQ,52,5260,17.5,1.047,100,1,0.976,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.02199513,pass
88,1.1,17.28,5G,802.11a 6Mbps,Edge 1,INPAQ,56,5280,17.5,1.052,100,1,1.157,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.018105198,pass
89,0.804,15.43,5G,802.11a 6Mbps,Edge 1,INPAQ,64,5320,15.5,1.016,100,1,0.817,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.821614877,pass
90,0.756,17.16,5G,802.11a 6Mbps,Edge 1,INPAQ,52,5260,17.5,1.081,100,1,0.818,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.984146688,pass
91,0.927,17.12,5G,802.11a 6Mbps,Edge 1,INPAQ,56,5280,17.5,1.091,100,1,1.012,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.002990117,pass
92,1.01,17.13,5G,802.11a 6Mbps,Edge 1,INPAQ,60,5300,17.5,1.089,100,1,1.1,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.094451555,pass
93,0.689,15.32,5G,802.11a 6Mbps,Edge 1,INPAQ,64,5320,17.5,1.652,100,1,1.138,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.072239609,pass
94,1.04,17.22,5G,802.11a 6Mbps,Edge 1,INPAQ,116,5580,17.5,1.067,100,1,1.109,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.13319395,pass
95,0.852,17.15,5G,802.11a 6Mbps,Edge 1,INPAQ,124,5620,17.5,1.084,100,1,0.924,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.1618923,pass
96,0.72,17.11,5G,802.11a 6Mbps,Edge 1,INPAQ,132,5660,17.5,1.094,100,1,0.788,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.200177652,pass
97,0.751,14.4,5G,802.11a 6Mbps,Edge 1,INPAQ,100,5500,14.5,1.023,100,1,0.768,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.585966632,pass
98,0.438,15.4,5G,802.11a 6Mbps,Edge 1,INPAQ,144,5720,15.5,1.023,100,1,0.448,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.770087852,pass
99,0.98,17.28,5G,802.11a 6Mbps,Edge 1,INPAQ,116,5580,17.5,1.052,100,1,1.031,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.070382125,pass
100,0.47,14.24,5G,802.11a 6Mbps,Edge 1,INPAQ,100,5500,14.5,1.062,100,1,0.499,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.522558432,pass
101,0.922,17.2,5G,802.11a 6Mbps,Edge 1,INPAQ,124,5620,17.5,1.072,100,1,0.988,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.122869976,pass
102,0.941,17.19,5G,802.11a 6Mbps,Edge 1,INPAQ,132,5660,17.5,1.074,100,1,1.011,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.196243301,pass
103,0.678,15.22,5G,802.11a 6Mbps,Edge 1,INPAQ,144,5720,15.5,1.067,100,1,0.723,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,0.743224384,pass
104,0.983,17.48,5G,802.11a 6Mbps,Edge 1,INPAQ,157,5785,17.5,1.005,100,1,0.988,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.228603047,pass
105,0.935,17.27,5G,802.11a 6Mbps,Edge 1,INPAQ,149,5745,17.5,1.054,100,1,0.986,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.139658094,pass
106,1.11,17.17,5G,802.11a 6Mbps,Edge 1,INPAQ,165,5825,17.5,1.079,100,1,1.198,-0.09,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.249986569,pass
107,0.895,17.23,5G,802.11a 6Mbps,Edge 1,INPAQ,165,5825,17.5,1.064,100,1,0.952,-0.66,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.2477494,pass
108,0.891,17.05,5G,802.11a 6Mbps,Edge 1,INPAQ,149,5745,17.5,1.109,100,1,0.988,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.113800035,pass
109,0.864,17.5,5G,802.11a 6Mbps,Edge 1,INPAQ,157,5785,17.5,1,100,1,0.864,-0.97,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,1.25,2,Edge,1.231219993,pass
110,0.164,17.42,5G,802.11a 6Mbps,Edge 2,INPAQ,60,5300,17.5,1.019,100,1,0.167,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,39.5,2,Edge,0.174892709,pass
111,0.203,17.22,5G,802.11a 6Mbps,Edge 2,INPAQ,116,5580,17.5,1.067,100,1,0.217,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,39.5,2,Edge,0.207264504,pass
112,0.093,17.48,5G,802.11a 6Mbps,Edge 2,INPAQ,157,5785,17.5,1.005,100,1,0.093,0.26,FA8D0418_R01_FCC SAR_Wistron_Boracay13_Report,Edge,39.5,2,Edge,0.197298596,pass
